IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.59.244,2096,2096,true,HKG,Asia Pacific,Hong Kong,286,0.22
155.248.176.98,2095,2095,false,HKG,Asia Pacific,Hong Kong,310,0.22
154.197.92.93,5010,443,true,HKG,Asia Pacific,Hong Kong,119,0.21
152.70.98.174,2086,2086,false,HKG,Asia Pacific,Hong Kong,268,0.20
138.2.19.122,8880,8880,false,HKG,Asia Pacific,Hong Kong,333,0.20
158.101.92.156,8080,8080,false,SIN,Asia Pacific,Singapore,310,0.18
132.145.127.21,2095,0,false,NRT,Asia Pacific,Tokyo,129,0.18
158.101.144.189,8443,8443,true,NRT,Asia Pacific,Tokyo,165,0.18
155.248.176.98,2096,2096,true,HKG,Asia Pacific,Hong Kong,253,0.17
132.145.122.95,2053,2053,true,NRT,Asia Pacific,Tokyo,178,0.15
168.138.196.237,80,80,false,SIN,Asia Pacific,Singapore,319,0.15
45.66.128.148,51361,443,true,NRT,Asia Pacific,Tokyo,277,0.13
131.186.45.88,2052,2052,false,KIX,Asia Pacific,Osaka,171,0.12
131.186.41.82,2087,2087,true,NRT,Asia Pacific,Tokyo,146,0.12
168.138.209.244,8080,8080,false,NRT,Asia Pacific,Tokyo,176,0.12
158.101.158.238,2083,2083,true,NRT,Asia Pacific,Tokyo,135,0.12
158.179.186.251,2095,2095,false,HKG,Asia Pacific,Hong Kong,297,0.11
140.238.58.42,80,80,false,HKG,Asia Pacific,Hong Kong,304,0.09
45.66.128.148,48792,443,true,NRT,Asia Pacific,Tokyo,209,0.08
195.245.242.232,53942,8443,true,HKG,Asia Pacific,Hong Kong,109,0.07
155.248.180.103,2053,2053,true,HKG,Asia Pacific,Hong Kong,213,0.05
147.78.247.110,50027,443,true,HKG,Asia Pacific,Hong Kong,179,0.00
109.107.137.22,44004,443,true,NRT,Asia Pacific,Tokyo,176,0.00
185.184.223.19,59775,443,true,NRT,Asia Pacific,Tokyo,130,0.00
62.106.70.89,40184,443,true,NRT,Asia Pacific,Tokyo,292,0.00
45.66.128.148,50053,443,true,NRT,Asia Pacific,Tokyo,177,0.00
155.248.180.103,2052,2052,false,HKG,Asia Pacific,Hong Kong,232,0.00
141.147.169.131,2096,2096,true,NRT,Asia Pacific,Tokyo,178,0.00
103.170.233.243,5772,443,true,HKG,Asia Pacific,Hong Kong,170,0.00
141.98.197.103,55271,443,true,NRT,Asia Pacific,Tokyo,279,0.00
62.106.70.181,10006,443,true,NRT,Asia Pacific,Tokyo,215,0.00
158.179.178.145,8880,8880,false,NRT,Asia Pacific,Tokyo,165,0.00
45.66.131.214,25462,443,true,NRT,Asia Pacific,Tokyo,122,0.00
45.66.128.148,48388,443,true,NRT,Asia Pacific,Tokyo,177,0.00
138.3.223.70,2083,2083,true,NRT,Asia Pacific,Tokyo,177,0.00
45.159.51.218,25068,443,true,NRT,Asia Pacific,Tokyo,246,0.00
45.66.128.148,34030,443,true,NRT,Asia Pacific,Tokyo,201,0.00
62.106.70.197,24543,443,true,NRT,Asia Pacific,Tokyo,168,0.00
151.145.65.8,8080,8080,false,NRT,Asia Pacific,Tokyo,176,0.00
155.248.176.68,2095,2095,false,HKG,Asia Pacific,Hong Kong,316,0.00
