IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.156.91,2052,2052,false,SIN,Asia Pacific,Singapore,150,0.91
27.109.170.8,16904,443,true,HKG,Asia Pacific,Hong Kong,284,0.88
47.245.15.236,8880,8880,false,HKG,Asia Pacific,Hong Kong,226,0.88
27.109.170.8,37931,443,true,HKG,Asia Pacific,Hong Kong,318,0.86
59.187.242.236,22557,443,true,ICN,Asia Pacific,Seoul,101,0.85
150.230.217.63,2096,2096,true,SIN,Asia Pacific,Singapore,246,0.85
47.243.70.197,8443,8443,true,SIN,Asia Pacific,Singapore,146,0.84
223.122.60.249,13903,443,true,HKG,Asia Pacific,Hong Kong,137,0.84
8.218.156.91,8880,8880,false,SIN,Asia Pacific,Singapore,150,0.82
34.97.254.165,443,443,true,HKG,Asia Pacific,Hong Kong,149,0.81
47.236.83.196,8443,8443,true,SIN,Asia Pacific,Singapore,152,0.78
47.245.11.216,2095,2095,false,KIX,Asia Pacific,Osaka,142,0.77
43.134.28.69,443,443,true,SIN,Asia Pacific,Singapore,143,0.77
45.66.217.121,59597,443,true,NRT,Asia Pacific,Tokyo,154,0.76
8.218.156.91,80,80,false,SIN,Asia Pacific,Singapore,128,0.75
39.126.158.244,35675,443,true,ICN,Asia Pacific,Seoul,340,0.73
47.74.50.249,2095,2095,false,HKG,Asia Pacific,Hong Kong,251,0.72
47.245.54.58,2052,2052,false,NRT,Asia Pacific,Tokyo,97,0.70
47.245.15.236,8080,8080,false,HKG,Asia Pacific,Hong Kong,226,0.69
43.134.39.167,443,443,true,HKG,Asia Pacific,Hong Kong,151,0.68
161.81.232.8,28532,443,true,HKG,Asia Pacific,Hong Kong,148,0.68
49.142.6.108,21822,80,false,HKG,Asia Pacific,Hong Kong,176,0.67
124.156.205.217,443,443,true,HKG,Asia Pacific,Hong Kong,86,0.67
47.245.59.244,2083,2083,true,HKG,Asia Pacific,Hong Kong,244,0.64
45.145.228.82,19981,443,true,HKG,Asia Pacific,Hong Kong,149,0.64
38.207.179.190,33135,443,true,HKG,Asia Pacific,Hong Kong,148,0.64
103.235.18.154,30171,443,true,HKG,Asia Pacific,Hong Kong,110,0.61
47.74.50.249,80,80,false,HKG,Asia Pacific,Hong Kong,285,0.60
59.187.242.236,39710,443,true,ICN,Asia Pacific,Seoul,144,0.59
8.218.142.253,8080,8080,false,SIN,Asia Pacific,Singapore,145,0.58
138.2.19.122,2052,2052,false,NRT,Asia Pacific,Tokyo,150,0.56
43.154.209.116,443,443,true,HKG,Asia Pacific,Hong Kong,72,0.55
47.245.11.216,8880,8880,false,NRT,Asia Pacific,Tokyo,138,0.54
38.207.179.190,18553,443,true,HKG,Asia Pacific,Hong Kong,172,0.53
158.101.158.238,2086,2086,false,HKG,Asia Pacific,Hong Kong,251,0.52
8.209.222.232,2096,2096,true,HKG,Asia Pacific,Hong Kong,250,0.52
161.81.228.214,28327,443,true,HKG,Asia Pacific,Hong Kong,109,0.51
8.222.153.11,8880,8880,false,HKG,Asia Pacific,Hong Kong,285,0.51
27.109.170.8,27168,443,true,HKG,Asia Pacific,Hong Kong,321,0.51
